date,arrivals,departures,difference,year
Mar 2013,1240000,1290000,-50000,2013
Apr 2013,1230000,1260000,-30000,2013
May 2013,1100000,1200000,-100000,2013
Jun 2013,1160000,1340000,-180000,2013
Jul 2013,1510000,1300000,210000,2013
Aug 2013,1300000,1340000,-40000,2013
Sep 2013,1330000,1380000,-50000,2013
Oct 2013,1530000,1230000,300000,2013
Nov 2013,1280000,1300000,-20000,2013
Dec 2013,1420000,1680000,-260000,2013
Jan 2014,1740000,1470000,270000,2014
Feb 2014,1340000,1180000,160000,2014
Mar 2014,1280000,1300000,-20000,2013
Apr 2014,1330000,1410000,-80000,2014
May 2014,1190000,1270000,-80000,2014
Jun 2014,1180000,1420000,-240000,2014
Jul 2014,1590000,1340000,250000,2014
Aug 2014,1360000,1430000,-70000,2014
Sep 2014,1380000,1410000,-30000,2013
Oct 2014,1570000,1300000,270000,2014
Nov 2014,1340000,1360000,-20000,2013
Dec 2014,1460000,1710000,-250000,2014
Jan 2015,1780000,1490000,290000,2015
Feb 2015,1420000,1240000,180000,2015
Mar 2015,1390000,1450000,-60000,2015
Apr 2015,1370000,1410000,-40000,2013
May 2015,1220000,1310000,-90000,2015
Jun 2015,1230000,1460000,-230000,2015
Jul 2015,1650000,1430000,220000,2015
Aug 2015,1420000,1450000,-30000,2013
Sep 2015,1460000,1480000,-20000,2013
Oct 2015,1650000,1400000,250000,2014
Nov 2015,1420000,1440000,-20000,2013
Dec 2015,1580000,1850000,-270000,2015
Jan 2016,1910000,1640000,270000,2014
Feb 2016,1560000,1370000,190000,2016
Mar 2016,1480000,1540000,-60000,2015
Apr 2016,1470000,1490000,-20000,2013
May 2016,1300000,1390000,-90000,2015
Jun 2016,1330000,1580000,-250000,2014
Jul 2016,1830000,1570000,260000,2016
Aug 2016,1510000,1550000,-40000,2013
Sep 2016,1590000,1600000,-10000,2016
Oct 2016,1780000,1500000,280000,2016
Nov 2016,1510000,1540000,-30000,2013
Dec 2016,1720000,1990000,-270000,2015
Jan 2017,2069999,1780000,289999,2017
Feb 2017,1630000,1390000,240000,2017
Mar 2017,1520000,1580000,-60000,2015
Apr 2017,1650000,1710000,-60000,2015
May 2017,1400000,1490000,-90000,2015
Jun 2017,1420000,1670000,-250000,2014
Jul 2017,1910000,1650000,260000,2016
Aug 2017,1620000,1660000,-40000,2013
Sep 2017,1670000,1700000,-30000,2013
Oct 2017,1880000,1570000,310000,2017
Nov 2017,1600000,1640000,-40000,2013
Dec 2017,1760000,2080000,-320000,2017
Jan 2018,2130000,1810000,320000,2018
Feb 2018,1730000,1520000,210000,2013
Mar 2018,1680000,1740000,-60000,2015
Apr 2018,1670000,1710000,-40000,2013
May 2018,1480000,1560000,-80000,2014
Jun 2018,1510000,1790000,-280000,2018
Jul 2018,2009999,1730000,279999,2018
Aug 2018,1720000,1770000,-50000,2013
Sep 2018,1720000,1760000,-40000,2013
Oct 2018,1960000,1640000,320000,2018
Nov 2018,1670000,1720000,-50000,2013
Dec 2018,1850000,2180000,-330000,2018
Jan 2019,2220000,1910000,310000,2017
Feb 2019,1790000,1520000,270000,2014
Mar 2019,1660000,1680000,-20000,2013
Apr 2019,1670000,1830000,-160000,2019
May 2019,1590000,1630000,-40000,2013
Jun 2019,1560000,1800000,-240000,2014
Jul 2019,2009999,1760000,249999,2019
Aug 2019,1780000,1810000,-30000,2013
Sep 2019,1750000,1800000,-50000,2013
Oct 2019,1980000,1680000,300000,2013
Nov 2019,1720000,1740000,-20000,2013
Dec 2019,1890000,2240000,-350000,2019
Jan 2020,2260000,1970000,290000,2015
Feb 2020,1570000,1290000,280000,2016
Mar 2020,920000,830000,90000,2020
Apr 2020,20000,60000,-40000,2013
May 2020,20000,30000,-10000,2016
Jun 2020,30000,40000,-10000,2016
Jul 2020,20000,60000,-40000,2013
Aug 2020,10000,60000,-50000,2013
Sep 2020,20000,50000,-30000,2013
Oct 2020,20000,50000,-30000,2013
Nov 2020,30000,40000,-10000,2016
Dec 2020,30000,50000,-20000,2013
Jan 2021,30000,40000,-10000,2016
Feb 2021,30000,30000,0,2021
Mar 2021,30000,30000,0,2021
Apr 2021,50000,60000,-10000,2016
May 2021,110000,110000,0,2021
Jun 2021,100000,100000,0,2021
Jul 2021,70000,90000,-20000,2013
Aug 2021,30000,40000,-10000,2016
Sep 2021,20000,30000,-10000,2016
Oct 2021,20000,40000,-20000,2013
Nov 2021,70000,90000,-20000,2013
Dec 2021,200000,230000,-30000,2013
Jan 2022,270000,190000,80000,2022
Feb 2022,270000,180000,90000,2020
Mar 2022,370000,340000,30000,2022
Apr 2022,570000,610000,-40000,2013
May 2022,650000,660000,-10000,2016
Jun 2022,730000,880000,-150000,2022
Jul 2022,1080000,970000,110000,2022
Aug 2022,1030000,940000,90000,2020
Sep 2022,1070000,1040000,30000,2022
Oct 2022,1210000,1010000,200000,2022
Nov 2022,1190000,1180000,10000,2022
Dec 2022,1260000,1520000,-260000,2013
Jan 2023,1610000,1380000,230000,2023
Feb 2023,1380000,1070000,310000,2017
Mar 2023,1340000,1320000,20000,2023
Apr 2023,1370000,1430000,-60000,2015
